03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | run 7c_v2_shuffled_s2 started -> /root/autodl-tmp/fly/runs/7c_v2_shuffled_s2
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ==============================================================================
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=2 shuffle_seed=2
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ==============================================================================
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ------------------------------------------------------------------------------
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
03:37:57 | INFO    | flynum.run.7c_v2_shuffled_s2 | circuit core loaded from cache: 33480 neurons / 1170024 edges
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 |   shuffle verified: overlap with real graph 2.21%, degrees and weights preserved
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | shuffled graph loaded from cache (seed=2, overlap=2.21%)
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | signed synapses: 187016/211577 neurons carry a prediction, 151924 excitatory / 59653 inhibitory / 47751 defaulted to +1 (100.0% signed)
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | readout: visual_projection (VPN) -> 9200 neurons
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | count stimuli loaded from cache (20000 pool images)
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | readout standardisation disabled
03:38:25 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   0 | loss 1.3705 | train 0.3907 | val 0.4696 | 23.5s
03:54:18 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  41 | loss 0.8129 | train 0.6469 | val 0.5988 | 23.6s
03:54:41 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  42 | loss 0.8076 | train 0.6532 | val 0.5996 | 23.6s
03:55:05 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  43 | loss 0.8041 | train 0.6532 | val 0.6116 | 23.4s
03:55:28 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  44 | loss 0.8001 | train 0.6568 | val 0.5948 | 23.0s
03:55:51 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  45 | loss 0.7977 | train 0.6600 | val 0.6224 | 23.0s
03:56:14 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  46 | loss 0.7928 | train 0.6629 | val 0.6240 | 23.1s
03:56:37 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  47 | loss 0.7899 | train 0.6653 | val 0.6172 | 22.8s
03:57:00 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  48 | loss 0.7881 | train 0.6657 | val 0.6208 | 23.1s
03:57:23 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  49 | loss 0.7848 | train 0.6695 | val 0.6120 | 22.9s
03:57:46 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  50 | loss 0.7832 | train 0.6718 | val 0.6208 | 23.0s
03:58:09 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  51 | loss 0.7815 | train 0.6703 | val 0.6232 | 23.1s
03:58:32 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  52 | loss 0.7803 | train 0.6760 | val 0.6224 | 23.6s
03:58:56 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  53 | loss 0.7785 | train 0.6754 | val 0.6224 | 23.6s
03:59:20 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  54 | loss 0.7779 | train 0.6744 | val 0.6244 | 23.6s
03:59:43 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  55 | loss 0.7768 | train 0.6754 | val 0.6252 | 23.6s
04:00:07 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  56 | loss 0.7759 | train 0.6775 | val 0.6236 | 23.4s
04:00:30 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  57 | loss 0.7755 | train 0.6774 | val 0.6232 | 23.0s
04:00:53 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  58 | loss 0.7751 | train 0.6786 | val 0.6240 | 23.0s
04:01:16 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  59 | loss 0.7749 | train 0.6783 | val 0.6232 | 23.0s
04:01:16 | INFO    | flynum.run.7c_v2_shuffled_s2 | ------------------------------------------------------------------------------
04:01:16 | INFO    | flynum.run.7c_v2_shuffled_s2 |   test A: acc 0.6382 (chance 0.20) | macro-F1 0.6295 | per-class 0.93 0.61 0.51 0.37 0.77
04:01:17 | INFO    | flynum.run.7c_v2_shuffled_s2 |   test B: acc 0.3412 (chance 0.20) | macro-F1 0.2587 | per-class 0.65 0.87 0.19 0.00 0.00
04:01:17 | INFO    | flynum.run.7c_v2_shuffled_s2 |   test C: acc 0.3854 (chance 0.20) | macro-F1 0.3094 | per-class 0.87 1.00 0.06 0.00 0.00
04:01:18 | INFO    | flynum.run.7c_v2_shuffled_s2 |   test D: acc 0.3240 (chance 0.20) | macro-F1 0.2314 | per-class 0.77 0.78 0.07 0.00 0.00
04:01:18 | INFO    | flynum.run.7c_v2_shuffled_s2 | run 7c_v2_shuffled_s2 finished: ok (1402.1s)
